intent,precision,recall,f1-score,support,classifier
podcasts,0.9498432601880877,0.8015873015873016,0.8694404591104734,378.0,RandomForestClassifier(random_state=0)
post,0.8952772073921971,0.8059149722735675,0.8482490272373541,541.0,RandomForestClassifier(random_state=0)
query,0.6991596638655462,0.8388506133422954,0.76266137040715,5951.0,RandomForestClassifier(random_state=0)
querycontact,0.7413793103448276,0.3891402714932127,0.510385756676558,221.0,RandomForestClassifier(random_state=0)
quirky,0.48282442748091603,0.23935666982024598,0.3200506008855155,1057.0,RandomForestClassifier(random_state=0)
radio,0.8674948240165632,0.7618181818181818,0.8112294288480156,550.0,RandomForestClassifier(random_state=0)
recipe,0.821875,0.6368038740920097,0.7175989085948158,413.0,RandomForestClassifier(random_state=0)
remove,0.908695652173913,0.8495934959349594,0.8781512605042018,984.0,RandomForestClassifier(random_state=0)
sendemail,0.695356738391846,0.8911465892597968,0.7811704834605598,689.0,RandomForestClassifier(random_state=0)
set,0.8352402745995423,0.842469705712637,0.8388394139615053,1733.0,RandomForestClassifier(random_state=0)
settings,0.7333333333333333,0.275,0.4,80.0,RandomForestClassifier(random_state=0)
stock,0.9502262443438914,0.7777777777777778,0.855397148676171,270.0,RandomForestClassifier(random_state=0)
taxi,0.9565217391304348,0.8369565217391305,0.8927536231884058,184.0,RandomForestClassifier(random_state=0)
ticket,0.8368200836820083,0.8368200836820083,0.8368200836820082,239.0,RandomForestClassifier(random_state=0)
traffic,0.9683544303797469,0.765,0.8547486033519555,200.0,RandomForestClassifier(random_state=0)
volume_down,0.6666666666666666,0.6052631578947368,0.6344827586206896,76.0,RandomForestClassifier(random_state=0)
volume_mute,0.8709677419354839,0.6625766871165644,0.7526132404181185,163.0,RandomForestClassifier(random_state=0)
volume_other,0.75,0.25,0.375,24.0,RandomForestClassifier(random_state=0)
volume_up,0.8045112781954887,0.7430555555555556,0.7725631768953068,144.0,RandomForestClassifier(random_state=0)
wemo_off,0.84375,0.826530612244898,0.8350515463917526,98.0,RandomForestClassifier(random_state=0)
wemo_on,0.8088235294117647,0.6875,0.7432432432432432,80.0,RandomForestClassifier(random_state=0)
accuracy,0.7512900892211237,0.7512900892211237,0.7512900892211237,0.7512900892211237,RandomForestClassifier(random_state=0)
macro avg,0.7912126678985365,0.6601511497485051,0.7054055404522228,20735.0,RandomForestClassifier(random_state=0)
weighted avg,0.7547354656655124,0.7512900892211237,0.7418916569615345,20735.0,RandomForestClassifier(random_state=0)
